Student,Region,Campus,Program,Starting/Readmitted Cohort,Graduating Cohort,Testing Cohort,Attempt Number,Result
1497,Greater Boston Region,BOS,ADN.BRDG.AAS,2022WIQ,2024SPQ,2024SUQ,1,0
1498,Lehigh Valley Region,SCR,ADN.2YR.AS,2022WIQ,2024WIQ,2025SPQ,1,0
1498,Lehigh Valley Region,SCR,ADN.2YR.AS,2022WIQ,2024WIQ,2025SUQ,2,1
1499,Lehigh Valley Region,BTH,ADN.BRDG.AS,2023FAQ,2025SUQ,2025WIQ,1,1
1500,Connecticut Valley Region,HAR,ADN.2YR.AAS.2,2022SUQ,2024SPQ,2024SUQ,1,1
1501,Lehigh Valley Region,ALL,ADN.2YR.AS,2023FAQ,2023WIQ,2024SPQ,1,1
1502,Lehigh Valley Region,REA,ADN.BRDG.AS,2022FAQ,2023WIQ,2024SPQ,1,1
1503,Lehigh Valley Region,ALL,ADN.2YR.AS,2022FAQ,2024SUQ,2024FAQ,1,1
1504,Greater Boston Region,BOS,ADN.BRDG.AAS,2023SPQ,2024FAQ,2024WIQ,1,1
1505,Lehigh Valley Region,SCR,BSN.PRE.BSN,2022WIQ,2025FAQ,2025WIQ,1,1
1506,Lehigh Valley Region,ALL,BSN.PRE.BSN,2022WIQ,2024WIQ,2025SPQ,1,1
1507,Greater Boston Region,BOS,BSN.PRE.BSN,2021FAQ,2023WIQ,2024SPQ,1,1
1508,Hudson Valley Region,ALB,ADN.2YR.AS,2023SUQ,2025SPQ,2025SUQ,1,1
1509,Lehigh Valley Region,ALL,ADN.BRDG.AS,2023SUQ,2024FAQ,2024WIQ,1,1
1510,Hudson Valley Region,KIN,BSN.PRE.BSN,2022FAQ,2025SPQ,2025SUQ,1,1
1511,Greater Boston Region,BOS,ADN.BRDG.AAS,2023SUQ,2024FAQ,2024WIQ,1,1
1512,Greater Boston Region,LOW,ADN.BRDG.AAS,2023WIQ,2025SPQ,2025SUQ,1,1
1513,Greater Boston Region,BOS,BSN.PRE.BSN,2021FAQ,2024FAQ,2024WIQ,1,1
1514,Lehigh Valley Region,ALL,ADN.2YR.AS,2023WIQ,2025SUQ,2025FAQ,1,1
1515,Hudson Valley Region,NEW,ADN.BRDG.AS,2023SUQ,2024FAQ,2024WIQ,1,0
1516,Greater Boston Region,SPR,ADN.BRDG.AAS,2024SUQ,2025SUQ,2025FAQ,1,0
1516,Greater Boston Region,SPR,ADN.BRDG.AAS,2024SUQ,2025SUQ,2025WIQ,2,1
1517,Hudson Valley Region,ALB,ADN.2YR.AS,2023WIQ,2025FAQ,2025WIQ,1,1
1518,Connecticut Valley Region,NHV,ADN.BRDG.NE.AS,2024SPQ,2025SPQ,2025SUQ,1,0
1519,Greater Boston Region,WOR,ADN.BRDG.AAS,2023FAQ,2024WIQ,2025SPQ,1,1
1520,Greater Boston Region,WOR,ADN.BRDG.AAS,2024SPQ,2025SUQ,2025FAQ,1,1
1521,Greater Boston Region,BOS,ADN.BRDG.AAS,2022FAQ,2023WIQ,2024SPQ,1,1
1522,Greater Boston Region,BOS,ADN.BRDG.AAS,2024SPQ,2025FAQ,2025WIQ,1,1
1523,Lehigh Valley Region,ALL,ADN.2YR.AS,2022WIQ,2024FAQ,2024WIQ,1,1
1524,Greater Boston Region,BOS,ADN.BRDG.AAS,2023WIQ,2024WIQ,2025SPQ,1,1
1525,Lehigh Valley Region,SCR,ADN.BRDG.AS,2023SUQ,2024SUQ,2024FAQ,1,1
1526,Connecticut Valley Region,HAR,ADN.BRDG.AAS,2023SUQ,2024WIQ,2025SPQ,1,1
1527,Lehigh Valley Region,ALL,ADN.2YR.AS,2024SPQ,2025FAQ,2025WIQ,1,1
1528,Greater Boston Region,LOW,BSN.PRE.BSN,2023SPQ,2025FAQ,2025WIQ,1,1
1529,Greater Boston Region,LOW,ADN.BRDG.AAS,2024SPQ,2025SUQ,2025FAQ,1,0
1529,Greater Boston Region,LOW,ADN.BRDG.AAS,2024SPQ,2025SUQ,2025FAQ,2,1
1530,Greater Boston Region,SPR,ADN.BRDG.AAS,2024SPQ,2025SPQ,2025SUQ,1,1
1531,Northern New England Region,POR,ADN.BRDG.AS,2024SPQ,2025FAQ,2025WIQ,1,1
1532,Connecticut Valley Region,HAR,ADN.2YR.AAS.2,2022WIQ,2024WIQ,2025SPQ,1,0
1532,Connecticut Valley Region,HAR,ADN.2YR.AAS.2,2022WIQ,2024WIQ,2025SUQ,2,1
1533,Greater Boston Region,LOW,ADN.BRDG.AAS,2024SPQ,2025FAQ,2025WIQ,1,1
1534,Hudson Valley Region,ALB,ADN.2YR.AS,2022SUQ,2024SUQ,2024FAQ,1,1
1535,Greater Boston Region,WOR,ADN.BRDG.AAS,2023FAQ,2025SPQ,2025SUQ,1,0
1535,Greater Boston Region,WOR,ADN.BRDG.AAS,2023FAQ,2025SPQ,2025FAQ,2,1
1536,Lehigh Valley Region,BTH,ADN.2YR.AS,2023FAQ,2025FAQ,2025WIQ,1,1
1537,Lehigh Valley Region,REA,ADN.BRDG.AS,2022FAQ,2023WIQ,2024FAQ,1,1
1538,Greater Boston Region,WOR,BSN.PRE.BSN,2023SUQ,2025FAQ,2025WIQ,1,0
1539,Hudson Valley Region,ALB,ADN.2YR.AS,2022SPQ,2023WIQ,2024SPQ,1,1
1540,Greater Boston Region,BOS,BSN.PRE.BSN,2023SPQ,2025SUQ,2025FAQ,1,1
1541,Lehigh Valley Region,ALL,ADN.2YR.AS,2023WIQ,2025FAQ,2025WIQ,1,1
1542,Greater Boston Region,BOS,ADN.BRDG.AAS,2023FAQ,2024WIQ,2025SPQ,1,1
1543,Greater Boston Region,BOS,ADN.BRDG.AAS,2022SPQ,2023FAQ,2025WIQ,2,0
1544,Greater Boston Region,BOS,ADN.BRDG.AAS,2023SPQ,2024SUQ,2024FAQ,1,1
1545,Hudson Valley Region,ALB,BSN.PRE.BSN,2021SPQ,2024SPQ,2024SUQ,1,0
1546,Greater Boston Region,WOR,BSN.PRE.BSN,2023SPQ,2025SUQ,2025FAQ,1,1
1547,Greater Boston Region,BOS,ADN.BRDG.AAS,2022SUQ,2023WIQ,2024SPQ,1,1
1548,Hudson Valley Region,ALB,BSN.PRE.BSN,2021FAQ,2024SPQ,2024SUQ,1,1
1549,Lehigh Valley Region,ALL,ADN.2YR.AS,2022WIQ,2024SPQ,2024SUQ,1,1
1550,Connecticut Valley Region,HAR,ADN.2YR.AAS.2,2022WIQ,2024FAQ,2024WIQ,1,1
1551,Lehigh Valley Region,BTH,ADN.BRDG.AS,2023WIQ,2025SPQ,2025SUQ,1,1
1552,Hudson Valley Region,ALB,ADN.2YR.AS,2022SUQ,2024SUQ,2024FAQ,1,1
1553,Hudson Valley Region,KIN,ADN.ADV.AAS,2024SPQ,2025SUQ,2025FAQ,1,1
1554,Lehigh Valley Region,ALL,BSN.PRE.BSN,2021SUQ,2024SPQ,2024SPQ,1,1
1555,Lehigh Valley Region,ALL,ADN.2YR.AS,2021FAQ,2023WIQ,2024SPQ,1,1
1556,Lehigh Valley Region,SCR,ADN.2YR.AS,2022SUQ,2024SUQ,2024FAQ,1,0
1556,Lehigh Valley Region,SCR,ADN.2YR.AS,2022SUQ,2024SUQ,2024WIQ,2,1
1557,Greater Boston Region,BOS,ADN.BRDG.AAS,2024SPQ,2025SPQ,2025SUQ,1,1
1558,Hudson Valley Region,ALB,ADN.2YR.AS,2022SPQ,2024SPQ,2024SUQ,1,1
1559,Hudson Valley Region,SCH,ADN.BRDG.AS,2023FAQ,2025SPQ,2025SUQ,1,1
1560,Connecticut Valley Region,HAR,ADN.2YR.AAS.2,2022WIQ,2024FAQ,2024WIQ,1,1
1561,Hudson Valley Region,ALB,ADN.2YR.AS,2022SPQ,2023WIQ,2024SPQ,1,1
1562,Greater Boston Region,BOS,ADN.BRDG.AAS,2024SUQ,2025SPQ,2025SUQ,1,0
1562,Greater Boston Region,BOS,ADN.BRDG.AAS,2024SUQ,2025SPQ,2025SUQ,2,0
1562,Greater Boston Region,BOS,ADN.BRDG.AAS,2024SUQ,2025SPQ,2025WIQ,3,1
1563,Connecticut Valley Region,HAR,ADN.2YR.AAS.2,2022FAQ,2024SPQ,2024SUQ,1,1
1564,Greater Boston Region,WOR,ADN.BRDG.AAS,2023FAQ,2024WIQ,2025SPQ,1,1
1565,Lehigh Valley Region,ALL,ADN.2YR.AS,2022SUQ,2024SPQ,2024SUQ,1,1
1566,Hudson Valley Region,ALB,ADN.2YR.AS,2022WIQ,2025SUQ,2025FAQ,1,1
1567,Hudson Valley Region,KIN,ADN.2YR.AAS,2023SPQ,2024WIQ,2025SPQ,1,1
1568,Lehigh Valley Region,ALL,ADN.2YR.AS,2023SPQ,2024WIQ,2025SPQ,1,1
1569,Connecticut Valley Region,WTB,ADN.BRDG.NE.AS,2023FAQ,2025SPQ,2025SPQ,1,1
1570,Connecticut Valley Region,NHV,ADN.2YR.AS,2022WIQ,2024FAQ,2024WIQ,1,1
1571,Greater Boston Region,BOS,ADN.BRDG.AAS,2023SUQ,2023WIQ,2024SPQ,1,1
1572,Lehigh Valley Region,ALL,BSN.PRE.BSN,2022WIQ,2025SPQ,2025SUQ,1,1
1573,Lehigh Valley Region,SCR,ADN.2YR.AS,2025SUQ,2025FAQ,2025WIQ,1,0
1574,Greater Boston Region,BOS,BSN.PRE.BSN,2021FAQ,2023WIQ,2024SPQ,1,0
1574,Greater Boston Region,BOS,BSN.PRE.BSN,2021FAQ,2023WIQ,2024SPQ,2,1
1575,Lehigh Valley Region,SCR,ADN.2YR.AS,2022SUQ,2024FAQ,2024FAQ,1,0
1575,Lehigh Valley Region,SCR,ADN.2YR.AS,2022SUQ,2024FAQ,2024WIQ,2,0
1575,Lehigh Valley Region,SCR,ADN.2YR.AS,2022SUQ,2024FAQ,2025SPQ,3,1
1576,Connecticut Valley Region,HAR,ADN.2YR.AAS.2,2023SUQ,2025FAQ,2025FAQ,1,1
1577,Lehigh Valley Region,ALL,ADN.2YR.AS,2023WIQ,2025FAQ,2025WIQ,1,1
1578,Hudson Valley Region,ALB,ADN.2YR.AS,2021WIQ,2023WIQ,2024SPQ,1,1
1579,Lehigh Valley Region,SCR,ADN.BRDG.AS,2023SPQ,2024SUQ,2024FAQ,1,1
1580,Greater Boston Region,BOS,ADN.BRDG.AAS,2022FAQ,2023WIQ,2024SPQ,1,1
1581,Hudson Valley Region,SCH,ADN.2YR.AS,2022SPQ,2024SUQ,2024FAQ,1,0
1581,Hudson Valley Region,SCH,ADN.2YR.AS,2022SPQ,2024SUQ,2024WIQ,2,1
1582,Hudson Valley Region,KIN,ADN.ADV.AAS,2022WIQ,2024SPQ,2024SUQ,1,1
1583,Lehigh Valley Region,ALL,ADN.2YR.AS,2023SPQ,2025SPQ,2025SUQ,1,1
1584,Hudson Valley Region,KIN,ADN.ADV.AAS,2022WIQ,2024SPQ,2024SUQ,1,1
1585,Hudson Valley Region,KIN,ADN.ADV.AAS,2023WIQ,2025SUQ,2025FAQ,1,1
1586,Greater Boston Region,BOS,BSN.PRE.BSN,2023SUQ,2025SUQ,2025FAQ,1,1
1587,Greater Boston Region,LOW,ADN.BRDG.AAS,2023WIQ,2025SUQ,2025FAQ,1,0
1587,Greater Boston Region,LOW,ADN.BRDG.AAS,2023WIQ,2025SUQ,2025WIQ,2,1
1588,Lehigh Valley Region,ALL,ADN.2YR.AS,2023SUQ,2025SPQ,2025SUQ,1,1
1589,Lehigh Valley Region,REA,ADN.BRDG.AS,2022FAQ,2023WIQ,2024SPQ,1,1
1590,Lehigh Valley Region,ALL,BSN.PRE.BSN,2024FAQ,2025SPQ,2025SUQ,1,1
1591,Greater Boston Region,LOW,ADN.BRDG.AAS,2024SUQ,2025FAQ,2025WIQ,1,1
1592,Greater Boston Region,BOS,BSN.PRE.BSN,2021WIQ,2024WIQ,2025SPQ,1,1
1593,Greater Boston Region,BOS,ADN.BRDG.AAS,2024SUQ,2025SUQ,2025FAQ,1,1
1594,Greater Boston Region,BOS,ADN.BRDG.AAS,2024SPQ,2025SUQ,2025FAQ,1,1
1595,Lehigh Valley Region,ALL,BSN.PRE.BSN,2021FAQ,2023WIQ,2024SPQ,1,1
1596,Greater Boston Region,BOS,ADN.BRDG.AAS,2022WIQ,2024SUQ,2024FAQ,1,1
1597,Hudson Valley Region,ALB,ADN.BRDG.AS,2023SPQ,2024SUQ,2024FAQ,1,1
1598,Connecticut Valley Region,WTB,ADN.2YR.AS,2024SPQ,2025FAQ,2025WIQ,1,1
1599,Greater Boston Region,SPR,ADN.BRDG.AAS,2023FAQ,2024WIQ,2025SPQ,1,1
1600,Lehigh Valley Region,ALL,BSN.PRE.BSN,2023WIQ,2024SPQ,2024FAQ,1,0
1600,Lehigh Valley Region,ALL,BSN.PRE.BSN,2023WIQ,2024SPQ,2024WIQ,2,1
1601,Greater Boston Region,SPR,ADN.BRDG.AAS,2023WIQ,2024WIQ,2025SUQ,1,1
1602,Connecticut Valley Region,WTB,ADN.2YR.AS,2023WIQ,2025SUQ,2025FAQ,1,1
1603,Greater Boston Region,BOS,ADN.BRDG.AAS,2023WIQ,2024SUQ,2024FAQ,1,1
1604,Greater Boston Region,BOS,BSN.PRE.BSN,2021WIQ,2024WIQ,2025SPQ,1,0
1605,Lehigh Valley Region,REA,ADN.BRDG.AS,2024WIQ,2025SPQ,2025SUQ,1,1
1606,Hudson Valley Region,ALB,ADN.2YR.AS,2023SUQ,2024SUQ,2024FAQ,1,1
1607,Greater Boston Region,BOS,BSN.PRE.BSN,2023SPQ,2025FAQ,2025WIQ,1,1
1608,Connecticut Valley Region,HAR,ADN.2YR.AAS.2,2023FAQ,2025SPQ,2025SUQ,1,0
1608,Connecticut Valley Region,HAR,ADN.2YR.AAS.2,2023FAQ,2025SPQ,2025SUQ,2,0
1608,Connecticut Valley Region,HAR,ADN.2YR.AAS.2,2023FAQ,2025SPQ,2025FAQ,3,1
1609,Lehigh Valley Region,BTH,ADN.BRDG.AS,2023WIQ,2025SUQ,2025FAQ,1,1
1610,Greater Boston Region,WOR,BSN.PRE.BSN,2022SUQ,2025FAQ,2025FAQ,1,1
1611,Connecticut Valley Region,BRI,ADN.2YR.AS,2023SPQ,2025SPQ,2025SUQ,1,1
1612,Hudson Valley Region,POU,ADN.2YR.AS,2023SUQ,2025SPQ,2025SUQ,1,1
1613,Lehigh Valley Region,ALL,ADN.2YR.AS,2023WIQ,2025SUQ,2025FAQ,1,1
1614,Hudson Valley Region,ALB,ADN.2YR.AS,2021SUQ,2023WIQ,2024SPQ,1,1
1615,Connecticut Valley Region,NHV,ADN.BRDG.NE.AS,2022FAQ,2023FAQ,2024SPQ,1,1
1616,Lehigh Valley Region,ALL,ADN.2YR.AS,2022WIQ,2024SUQ,2024FAQ,1,1
1617,Greater Boston Region,BOS,ADN.BRDG.AAS,2021FAQ,2023SPQ,2024FAQ,3,0
1617,Greater Boston Region,BOS,ADN.BRDG.AAS,2021FAQ,2023SPQ,2025SPQ,4,0
1617,Greater Boston Region,BOS,ADN.BRDG.AAS,2021FAQ,2023SPQ,2025SPQ,5,1
1617,Greater Boston Region,BOS,ADN.BRDG.AAS,2021FAQ,2023SPQ,2025FAQ,6,0
1617,Greater Boston Region,BOS,ADN.BRDG.AAS,2021FAQ,2023SPQ,2025WIQ,7,0
1618,Greater Boston Region,SPR,ADN.BRDG.AAS,2023FAQ,2024WIQ,2025SPQ,1,0
1619,Greater Boston Region,BOS,BSN.PRE.BSN,2022FAQ,2025SUQ,2025SUQ,1,0
1619,Greater Boston Region,BOS,BSN.PRE.BSN,2022FAQ,2025SUQ,2025FAQ,2,1
1620,Greater Boston Region,LOW,ADN.BRDG.AAS,2023SUQ,2024WIQ,2025SPQ,1,1
1621,Hudson Valley Region,POU,ADN.2YR.AS,2022WIQ,2024FAQ,2024WIQ,1,1
1622,Hudson Valley Region,SCH,ADN.2YR.AS,2023SUQ,2025SPQ,2025SUQ,1,1
1623,Greater Boston Region,BOS,ADN.BRDG.AAS,2023SPQ,2024SPQ,2024SUQ,1,1
1624,Greater Boston Region,BOS,BSN.PRE.BSN,2023SPQ,2025SUQ,2025FAQ,1,1
1625,Lehigh Valley Region,SCR,ADN.2YR.AS,2022FAQ,2024SUQ,2024FAQ,1,1
1626,Connecticut Valley Region,NHV,ADN.BRDG.NE.AS,2024SUQ,2025FAQ,2025WIQ,1,0
1627,Lehigh Valley Region,ALL,ADN.2YR.AS,2022SUQ,2024SPQ,2024SUQ,1,1
1628,Hudson Valley Region,SCH,BSN.PRE.BSN,2022FAQ,2025SPQ,2025SUQ,1,1
1629,Greater Boston Region,SPR,ADN.BRDG.AAS,2023FAQ,2024FAQ,2024WIQ,1,1
1630,Greater Boston Region,BOS,ADN.BRDG.AAS,2023FAQ,2025SPQ,2025SUQ,1,1
1631,Greater Boston Region,SPR,ADN.BRDG.AAS,2024SPQ,2025SPQ,2025SUQ,1,1
1632,Connecticut Valley Region,NHV,ADN.BRDG.NE.AS,2023SPQ,2024SUQ,2024FAQ,1,1
1633,Greater Boston Region,BOS,BSN.PRE.BSN,2022SUQ,2024SUQ,2024FAQ,1,1
1634,Lehigh Valley Region,ALL,ADN.2YR.AS,2022SPQ,2024SUQ,2024FAQ,1,0
1634,Lehigh Valley Region,ALL,ADN.2YR.AS,2022SPQ,2024SUQ,2024WIQ,2,1
1635,Greater Boston Region,BOS,ADN.BRDG.AAS,2023WIQ,2025SPQ,2025SUQ,1,1
1636,Greater Boston Region,BOS,ADN.BRDG.AAS,2022SUQ,2023WIQ,2024SPQ,1,0
1636,Greater Boston Region,BOS,ADN.BRDG.AAS,2022SUQ,2023WIQ,2024FAQ,2,1
1637,Hudson Valley Region,KIN,ADN.2YR.AAS,2023FAQ,2025SPQ,2025SUQ,1,1
1638,Hudson Valley Region,ALB,ADN.2YR.AS,2022WIQ,2024WIQ,2025SPQ,1,1
1639,Hudson Valley Region,POU,ADN.2YR.AS,2023WIQ,2025WIQ,2025WIQ,1,1
1640,Connecticut Valley Region,NHV,ADN.2YR.AS,2023SPQ,2024WIQ,2025SPQ,1,1
1641,Lehigh Valley Region,BTH,ADN.BRDG.AS,2023WIQ,2025SPQ,2025SUQ,1,1
1642,Greater Boston Region,BOS,ADN.BRDG.AAS,2023WIQ,2025SUQ,2025FAQ,1,1
1643,Greater Boston Region,SPR,ADN.BRDG.AAS,2024SPQ,2025SPQ,2025SUQ,1,1
1644,Connecticut Valley Region,HAR,ADN.2YR.AAS.2,2022FAQ,2024SPQ,2024SUQ,1,1
1645,Connecticut Valley Region,HAR,ADN.2YR.AAS.2,2023FAQ,2025SUQ,2025FAQ,1,1
1646,Lehigh Valley Region,BTH,ADN.2YR.AS,2023SPQ,2024WIQ,2025SPQ,1,1
1647,Lehigh Valley Region,BTH,ADN.2YR.AS,2023SUQ,2025SUQ,2025SUQ,1,1
1648,Lehigh Valley Region,REA,ADN.2YR.AS,2023SPQ,2024WIQ,2025SPQ,1,1
1649,Hudson Valley Region,ALB,ADN.2YR.AS,2023SUQ,2025SPQ,2025SUQ,1,1
1650,Greater Boston Region,WOR,ADN.BRDG.AAS,2023SPQ,2025SUQ,2025FAQ,1,1
1651,Hudson Valley Region,KIN,ADN.ADV.AAS,2023FAQ,2024FAQ,2024WIQ,1,1
1652,Greater Boston Region,BOS,BSN.PRE.BSN,2022WIQ,2025SPQ,2025SUQ,1,1
1653,Greater Boston Region,LOW,ADN.BRDG.AAS,2023WIQ,2024WIQ,2025SPQ,1,1
1654,Greater Boston Region,BOS,ADN.BRDG.AAS,2022WIQ,2023WIQ,2024SPQ,1,0
1655,Greater Boston Region,BOS,BSN.PRE.BSN,2022FAQ,2025SPQ,2025SUQ,1,1
1656,Hudson Valley Region,ALB,ADN.2YR.AS,2022FAQ,2024SUQ,2024FAQ,1,1
1657,Greater Boston Region,BOS,ADN.BRDG.AAS,2023FAQ,2025SPQ,2025SUQ,1,1
1658,Greater Boston Region,BOS,ADN.BRDG.AAS,2022WIQ,2024SPQ,2024SUQ,1,1
1659,Hudson Valley Region,ALB,ADN.2YR.AS,2022SUQ,2024FAQ,2024WIQ,1,1
1660,Hudson Valley Region,ALB,ADN.2YR.AS,2021FAQ,2023WIQ,2024SPQ,1,1
1661,Greater Boston Region,BOS,ADN.BRDG.AAS,2022SUQ,2023WIQ,2024SPQ,1,1
1662,Connecticut Valley Region,HAR,ADN.BRDG.AAS,2023SPQ,2024SUQ,2024FAQ,1,1
1663,Greater Boston Region,BOS,ADN.BRDG.AAS,2023SUQ,2025SUQ,2025FAQ,1,1
1664,Hudson Valley Region,KIN,ADN.2YR.AAS,2022WIQ,2025SUQ,2025SUQ,1,1
1665,Greater Boston Region,LOW,ADN.BRDG.AAS,2024SUQ,2025SUQ,2025WIQ,1,0
1666,Connecticut Valley Region,NHV,ADN.BRDG.NE.AS,2023FAQ,2025SPQ,2025SPQ,1,1
1667,Greater Boston Region,BOS,ADN.BRDG.AAS,2022WIQ,2024SPQ,2024SUQ,1,1
1668,Greater Boston Region,BOS,ADN.BRDG.AAS,2023FAQ,2025SPQ,2025SPQ,1,1
1669,Greater Boston Region,BOS,BSN.PRE.BSN,2022FAQ,2024FAQ,2024WIQ,1,1
1670,Lehigh Valley Region,ALL,ADN.2YR.AS,2022FAQ,2023WIQ,2024SPQ,1,1
1671,Hudson Valley Region,ALB,ADN.2YR.AS,2023FAQ,2025FAQ,2025WIQ,1,1
1672,Hudson Valley Region,ALB,ADN.2YR.AS,2023FAQ,2025SUQ,2025FAQ,1,1
1673,Greater Boston Region,WOR,ADN.BRDG.AAS,2023SPQ,2024SPQ,2024SUQ,1,1
1674,Greater Boston Region,BOS,ADN.BRDG.AAS,2022WIQ,2024SUQ,2024FAQ,1,1
1675,Hudson Valley Region,KIN,BSN.PRE.BSN,2021SUQ,2024FAQ,2024WIQ,1,1
1676,Hudson Valley Region,ALB,ADN.2YR.AS,2022WIQ,2025SPQ,2025SUQ,1,1
1677,Greater Boston Region,SPR,ADN.BRDG.AAS,2024SPQ,2025SPQ,2025SUQ,1,1
1678,Lehigh Valley Region,ALL,ADN.2YR.AS,2022SPQ,2024FAQ,2024WIQ,1,1
1679,Hudson Valley Region,ALB,ADN.BRDG.AS,2023SUQ,2024FAQ,2024WIQ,1,1
1680,Hudson Valley Region,KIN,ADN.2YR.AAS,2022WIQ,2024WIQ,2024WIQ,1,1
1681,Greater Boston Region,BOS,ADN.BRDG.AAS,2024SPQ,2025SPQ,2025SUQ,1,1
1682,Hudson Valley Region,KIN,ADN.2YR.AAS,2023SPQ,2024SPQ,2024SUQ,1,1
1683,Lehigh Valley Region,ALL,ADN.2YR.AS,2023WIQ,2025FAQ,2025WIQ,1,1
1684,Lehigh Valley Region,SCR,ADN.BRDG.AS,2024SPQ,2025SUQ,2025FAQ,1,1
1685,Greater Boston Region,WOR,ADN.BRDG.AAS,2023WIQ,2025SUQ,2025FAQ,1,1
1686,Lehigh Valley Region,SCR,ADN.BRDG.AS,2023FAQ,2025SPQ,2025FAQ,1,1
1687,Greater Boston Region,BOS,BSN.PRE.BSN,2022SUQ,2024WIQ,2025SPQ,1,1
1688,Hudson Valley Region,SCH,ADN.2YR.AS,2023WIQ,2025FAQ,2025WIQ,1,1
1689,Greater Boston Region,SPR,ADN.BRDG.AAS,2024SPQ,2025SUQ,2025FAQ,1,1
1690,Greater Boston Region,WOR,BSN.PRE.BSN,2022SPQ,2024WIQ,2025SPQ,1,1
1691,Connecticut Valley Region,HAR,ADN.BRDG.AAS,2022FAQ,2023WIQ,2024SPQ,1,1
1692,Lehigh Valley Region,ALL,ADN.2YR.AS,2023WIQ,2025FAQ,2025WIQ,1,1
1693,Lehigh Valley Region,ALL,ADN.2YR.AS,2023SUQ,2025SPQ,2025SUQ,1,1
1694,Hudson Valley Region,ALB,ADN.2YR.AS,2022WIQ,2024FAQ,2024WIQ,1,1
1695,Hudson Valley Region,KIN,ADN.2YR.AAS,2023SPQ,2024SPQ,2024SUQ,1,1
1696,Hudson Valley Region,ALB,ADN.BRDG.AS,2023SPQ,2024WIQ,2025SPQ,1,1
1697,Connecticut Valley Region,HAR,ADN.BRDG.AAS,2022WIQ,2024FAQ,2024WIQ,1,1
1698,Greater Boston Region,BOS,ADN.BRDG.AAS,2022WIQ,2024WIQ,2024WIQ,1,0
1698,Greater Boston Region,BOS,ADN.BRDG.AAS,2022WIQ,2024WIQ,2025SPQ,2,0
1698,Greater Boston Region,BOS,ADN.BRDG.AAS,2022WIQ,2024WIQ,2025SPQ,3,0
1698,Greater Boston Region,BOS,ADN.BRDG.AAS,2022WIQ,2024WIQ,2025SUQ,4,0
1698,Greater Boston Region,BOS,ADN.BRDG.AAS,2022WIQ,2024WIQ,2025WIQ,5,1
1699,Greater Boston Region,SPR,ADN.BRDG.AAS,2023WIQ,2025SUQ,2025FAQ,2,1
1700,Lehigh Valley Region,ALL,ADN.2YR.AS,2023WIQ,2025SUQ,2025FAQ,1,0
1700,Lehigh Valley Region,ALL,ADN.2YR.AS,2023WIQ,2025SUQ,2025WIQ,2,0
1701,Greater Boston Region,BOS,BSN.PRE.BSN,2022WIQ,2024WIQ,2025SPQ,1,1
1702,Greater Boston Region,WOR,ADN.BRDG.AAS,2023SUQ,2024SPQ,2024SUQ,1,0
1703,Lehigh Valley Region,REA,ADN.2YR.AS,2022WIQ,2024WIQ,2025SPQ,1,1
1704,Greater Boston Region,LOW,ADN.BRDG.AAS,2023FAQ,2025SUQ,2025FAQ,1,1
1705,Greater Boston Region,WOR,ADN.BRDG.AAS,2023SPQ,2024SUQ,2024FAQ,1,0
1705,Greater Boston Region,WOR,ADN.BRDG.AAS,2023SPQ,2024SUQ,2024FAQ,2,1
1706,Greater Boston Region,BOS,ADN.BRDG.AAS,2023WIQ,2023WIQ,2024SPQ,2,0
1707,Hudson Valley Region,SCH,ADN.2YR.AS,2023SUQ,2025WIQ,2025WIQ,1,1
1708,Greater Boston Region,BOS,ADN.BRDG.AAS,2022WIQ,2024SPQ,2024SUQ,1,1
1709,Lehigh Valley Region,SCR,ADN.2YR.AS,2023WIQ,2025WIQ,2025WIQ,1,1
1710,Lehigh Valley Region,SCR,ADN.BRDG.AS,2022FAQ,2024SPQ,2024SPQ,1,1
1711,Greater Boston Region,BOS,BSN.PRE.BSN,2022SUQ,2024WIQ,2025SPQ,1,1
1712,Greater Boston Region,BOS,BSN.PRE.BSN,2023SPQ,2025FAQ,2025WIQ,1,1
1713,Hudson Valley Region,ALB,ADN.2YR.AS,2021WIQ,2023WIQ,2024SPQ,1,1
1714,Greater Boston Region,BOS,BSN.PRE.BSN,2023SUQ,2023WIQ,2024SPQ,1,1
1715,Greater Boston Region,BOS,ADN.BRDG.AAS,2022WIQ,2024SPQ,2024SUQ,1,1
1716,Connecticut Valley Region,BRI,ADN.BRDG.AS,2024SPQ,2025SPQ,2025SUQ,1,1
1717,Lehigh Valley Region,SCR,ADN.2YR.AS,2022FAQ,2024SUQ,2024FAQ,1,1
1718,Greater Boston Region,BOS,ADN.BRDG.AAS,2023WIQ,2025SUQ,2025FAQ,1,1
1719,Lehigh Valley Region,ALL,ADN.2YR.AS,2022FAQ,2024SUQ,2024FAQ,1,1
1720,Greater Boston Region,SPR,ADN.BRDG.AAS,2023FAQ,2025SPQ,2025SUQ,1,1
1721,Lehigh Valley Region,ALL,BSN.PRE.BSN,2022SUQ,2024WIQ,2025SPQ,1,1
1722,Hudson Valley Region,ALB,ADN.BRDG.AS,2023SUQ,2024SUQ,2024FAQ,1,1
1723,Lehigh Valley Region,ALL,ADN.2YR.AS,2023SPQ,2023WIQ,2024SPQ,1,0
1724,Greater Boston Region,BOS,ADN.BRDG.AAS,2022FAQ,2023WIQ,2024SPQ,1,1
